,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
217,HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,TAS,1069871,297186,Hydro,2017-2018,-41.3500366,146.2647857,True
219,HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,TAS,17127,4758,Wind,2017-2018,-40.1163649,148.0288719,True
221,HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,TAS,2057927,571646,Hydro,2017-2018,-42.1548711,145.5345778,True
222,HYDRO-ELECTRIC CORPORATION,King Island Power Station,TAS,47627,13230,Wind,2017-2018,-39.87534770000001,143.9370758,True
223,HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,TAS,213343,59262,Hydro,2017-2018,-42.1581419,146.6456158,True
224,HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,TAS,55960,15544,Hydro,2017-2018,-42.0039252,145.5442864,True
225,HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,TAS,163390,45386,Hydro,2017-2018,-42.0039252,145.5442864,True
226,HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,TAS,1078743,299651,Hydro,2017-2018,-41.5746481,146.1643107,True
227,HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,TAS,1497527,415980,Hydro,2017-2018,-42.3182578,146.4726908,True
229,HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,TAS,652866,181352,Hydro,2017-2018,-42.6362629,146.8488872,True
230,HYDRO-ELECTRIC CORPORATION,Paloona Hydro Power Station,TAS,489220,135894,Hydro,2017-2018,-41.2581401,146.2699943,True
231,HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,TAS,11006,3057,Hydro,2017-2018,-42.0409059,146.8087322,True
232,HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,TAS,4371071,1214186,Hydro,2017-2018,-41.7958243,146.9610493,True
235,HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,TAS,141533,39315,Hydro,2017-2018,-41.7294863,146.2175479,True
237,HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,TAS,2084470,579019,Hydro,2017-2018,-42.301225,146.4503471,True
238,HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,TAS,6348,1763,Hydro,2017-2018,-41.9695227,146.796318,True
239,HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,TAS,1272208,353391,Hydro,2017-2018,-41.43540950000001,147.1197143,True
241,HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,TAS,1954117,542810,Hydro,2017-2018,-42.2967833,146.4566074,True
242,HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,TAS,1211194,336443,Hydro,2017-2018,-42.3886455,146.4997426,True
243,HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,TAS,430135,119482,Hydro,2017-2018,-42.0409059,146.8087322,True
245,INFIGEN ENERGY LIMITED,Alinta Wind Farm,WA,1164238,323399,Wind,2017-2018,-28.9024923,114.8927165,True
246,INFIGEN ENERGY LIMITED,Capital East Solar Farm,NSW,618,172,Solar,2017-2018,-31.2532183,146.921099,True
247,INFIGEN ENERGY LIMITED,Capital Wind Farm,NSW,1382798,384111,Wind,2017-2018,-35.1661165,149.518277,True
249,INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,NSW,566343,157318,Wind,2017-2018,-35.0954285,149.5789486,True
251,IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,WA,3093310,859253,Gas,2017-2018,-31.9505048,115.8604867,False
253,KIAMCO FORESIGHT HANWHA BARCALDINE 1 PTY LTD,Barcaldine Remote Community Solar Farm Pty Ltd,QLD,200513,55698,Solar,2017-2018,-23.5559218,145.2882741,True
257,LANDFILL GAS & POWER PTY LTD,Kalamunda Power Station,WA,18,5,Diesel,2017-2018,-31.9733275,116.0604722,False
258,LANDFILL GAS & POWER PTY LTD,Red Hill LFG Power Station,WA,103309,28697,Landfill Gas,2017-2018,-31.8548072,116.0538776,True
259,LANDFILL GAS & POWER PTY LTD,Tamala Park LFG Power Station,WA,152401,42334,Landfill Gas,2017-2018,-31.704321,115.7349162,True
261,LMS ENERGY PTY LTD,Albury Renewable Energy Facility,NSW,26980,7494,Landfill Gas,2017-2018,-36.0751193,146.9094852,True
262,LMS ENERGY PTY LTD,Atlas Renewable Energy Facility,WA,7681,2134,Landfill Gas,2017-2018,-27.6728168,121.6283098,True
263,LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,NSW,29701,8250,Landfill Gas,2017-2018,-33.0086146,151.5475816,True
264,LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,VIC,24853,6904,Landfill Gas,2017-2018,-37.5621587,143.8502556,True
265,LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,VIC,15077,4188,Landfill Gas,2017-2018,-36.75961960000001,144.2785764,True
266,LMS ENERGY PTY LTD,Birkdale Renewable Energy Facility,QLD,21309,5919,Landfill Gas,2017-2018,-27.4935931,153.2137869,True
